lat,lon,satelite,data,geometry,index_right,NM_PAIS,AREA_KM2
-12.545,-42.4883,GOES-16,2023-10-10 13:20:00,POINT (-42.4883 -12.545),0,Brasil,8510417.771
-12.6448,-45.2575,GOES-16,2023-10-10 13:20:00,POINT (-45.2575 -12.6448),0,Brasil,8510417.771
-12.6452,-45.2343,GOES-16,2023-10-10 13:20:00,POINT (-45.2343 -12.6452),0,Brasil,8510417.771
-12.6641,-45.2544,GOES-16,2023-10-10 13:20:00,POINT (-45.2544 -12.6641),0,Brasil,8510417.771
-13.0454,-43.5271,GOES-16,2023-10-10 13:20:00,POINT (-43.5271 -13.0454),0,Brasil,8510417.771
-13.0758,-42.0772,GOES-16,2023-10-10 13:20:00,POINT (-42.0772 -13.0758),0,Brasil,8510417.771
-13.0768,-42.0282,GOES-16,2023-10-10 13:20:00,POINT (-42.0282 -13.0768),0,Brasil,8510417.771
-13.3983,-42.4061,GOES-16,2023-10-10 13:20:00,POINT (-42.4061 -13.3983),0,Brasil,8510417.771
-13.5123,-43.4202,GOES-16,2023-10-10 13:20:00,POINT (-43.4202 -13.5123),0,Brasil,8510417.771
-13.5128,-43.3962,GOES-16,2023-10-10 13:20:00,POINT (-43.3962 -13.5128),0,Brasil,8510417.771
-13.5317,-43.4166,GOES-16,2023-10-10 13:20:00,POINT (-43.4166 -13.5317),0,Brasil,8510417.771
-13.5322,-43.3926,GOES-16,2023-10-10 13:20:00,POINT (-43.3926 -13.5322),0,Brasil,8510417.771
-13.7877,-43.2498,GOES-16,2023-10-10 13:20:00,POINT (-43.2498 -13.7877),0,Brasil,8510417.771
-14.3368,-45.7155,GOES-16,2023-10-10 13:20:00,POINT (-45.7155 -14.3368),0,Brasil,8510417.771
-14.3558,-45.7352,GOES-16,2023-10-10 13:20:00,POINT (-45.7352 -14.3558),0,Brasil,8510417.771
-14.5446,-45.0973,GOES-16,2023-10-10 13:20:00,POINT (-45.0973 -14.5446),0,Brasil,8510417.771
-14.5689,-44.0089,GOES-16,2023-10-10 13:20:00,POINT (-44.0089 -14.5689),0,Brasil,8510417.771
-14.7257,-43.9787,GOES-16,2023-10-10 13:20:00,POINT (-43.9787 -14.7257),0,Brasil,8510417.771
-14.7262,-43.9548,GOES-16,2023-10-10 13:20:00,POINT (-43.9548 -14.7262),0,Brasil,8510417.771
-14.7455,-45.7122,GOES-16,2023-10-10 13:20:00,POINT (-45.7122 -14.7455),0,Brasil,8510417.771
-15.5873,-43.1796,GOES-16,2023-10-10 13:20:00,POINT (-43.1796 -15.5873),0,Brasil,8510417.771
-15.6586,-43.4786,GOES-16,2023-10-10 13:20:00,POINT (-43.4786 -15.6586),0,Brasil,8510417.771
-15.6772,-43.5229,GOES-16,2023-10-10 13:20:00,POINT (-43.5229 -15.6772),0,Brasil,8510417.771
-15.6969,-43.5187,GOES-16,2023-10-10 13:20:00,POINT (-43.5187 -15.6969),0,Brasil,8510417.771
-15.8367,-43.4408,GOES-16,2023-10-10 13:20:00,POINT (-43.4408 -15.8367),0,Brasil,8510417.771
-15.7467,-51.0064,GOES-16,2023-10-10 13:20:00,POINT (-51.0064 -15.7467),0,Brasil,8510417.771
-15.765,-51.0686,GOES-16,2023-10-10 13:20:00,POINT (-51.0686 -15.765),0,Brasil,8510417.771
-15.7654,-51.0469,GOES-16,2023-10-10 13:20:00,POINT (-51.0469 -15.7654),0,Brasil,8510417.771
-15.7658,-51.0252,GOES-16,2023-10-10 13:20:00,POINT (-51.0252 -15.7658),0,Brasil,8510417.771
-15.7845,-51.0657,GOES-16,2023-10-10 13:20:00,POINT (-51.0657 -15.7845),0,Brasil,8510417.771
-16.0281,-43.665,GOES-16,2023-10-10 13:20:00,POINT (-43.665 -16.0281),0,Brasil,8510417.771
-16.0677,-43.6565,GOES-16,2023-10-10 13:20:00,POINT (-43.6565 -16.0677),0,Brasil,8510417.771
-16.3637,-43.6646,GOES-16,2023-10-10 13:20:00,POINT (-43.6646 -16.3637),0,Brasil,8510417.771
-16.2002,-51.7807,GOES-16,2023-10-10 13:20:00,POINT (-51.7807 -16.2002),0,Brasil,8510417.771
-16.2006,-51.7591,GOES-16,2023-10-10 13:20:00,POINT (-51.7591 -16.2006),0,Brasil,8510417.771
-16.2023,-51.6726,GOES-16,2023-10-10 13:20:00,POINT (-51.6726 -16.2023),0,Brasil,8510417.771
-16.4647,-45.1455,GOES-16,2023-10-10 13:20:00,POINT (-45.1455 -16.4647),0,Brasil,8510417.771
-16.3205,-52.6423,GOES-16,2023-10-10 13:20:00,POINT (-52.6423 -16.3205),0,Brasil,8510417.771
-16.3209,-52.6208,GOES-16,2023-10-10 13:20:00,POINT (-52.6208 -16.3209),0,Brasil,8510417.771
-16.3517,-52.0378,GOES-16,2023-10-10 13:20:00,POINT (-52.0378 -16.3517),0,Brasil,8510417.771
-16.6411,-51.2799,GOES-16,2023-10-10 13:20:00,POINT (-51.2799 -16.6411),0,Brasil,8510417.771
-17.8156,-50.778,GOES-16,2023-10-10 13:20:00,POINT (-50.778 -17.8156),0,Brasil,8510417.771
-17.8355,-50.7745,GOES-16,2023-10-10 13:20:00,POINT (-50.7745 -17.8355),0,Brasil,8510417.771
-17.9574,-49.7776,GOES-16,2023-10-10 13:20:00,POINT (-49.7776 -17.9574),0,Brasil,8510417.771
-18.0106,-50.0574,GOES-16,2023-10-10 13:20:00,POINT (-50.0574 -18.0106),0,Brasil,8510417.771
-18.0111,-50.035,GOES-16,2023-10-10 13:20:00,POINT (-50.035 -18.0111),0,Brasil,8510417.771
-18.03,-50.076,GOES-16,2023-10-10 13:20:00,POINT (-50.076 -18.03),0,Brasil,8510417.771
-18.0305,-50.0537,GOES-16,2023-10-10 13:20:00,POINT (-50.0537 -18.0305),0,Brasil,8510417.771
-18.031,-50.0314,GOES-16,2023-10-10 13:20:00,POINT (-50.0314 -18.031),0,Brasil,8510417.771
-18.0851,-49.4182,GOES-16,2023-10-10 13:20:00,POINT (-49.4182 -18.0851),0,Brasil,8510417.771
-18.2479,-49.2749,GOES-16,2023-10-10 13:20:00,POINT (-49.2749 -18.2479),0,Brasil,8510417.771
-18.2484,-49.2523,GOES-16,2023-10-10 13:20:00,POINT (-49.2523 -18.2484),0,Brasil,8510417.771
-18.3109,-49.9796,GOES-16,2023-10-10 13:20:00,POINT (-49.9796 -18.3109),0,Brasil,8510417.771
3.5295,-60.8144,GOES-16,2023-10-10 13:20:00,POINT (-60.8144 3.5295),0,Brasil,8510417.771
2.7342,-51.052,GOES-16,2023-10-10 13:20:00,POINT (-51.052 2.7342),0,Brasil,8510417.771
2.0898,-50.8587,GOES-16,2023-10-10 13:20:00,POINT (-50.8587 2.0898),0,Brasil,8510417.771
1.7854,-55.6054,GOES-16,2023-10-10 13:20:00,POINT (-55.6054 1.7854),0,Brasil,8510417.771
1.4267,-50.849,GOES-16,2023-10-10 13:20:00,POINT (-50.849 1.4267),0,Brasil,8510417.771
0.5246,-50.8367,GOES-16,2023-10-10 13:20:00,POINT (-50.8367 0.5246),0,Brasil,8510417.771
-8.711,-47.6007,GOES-16,2023-10-10 13:20:00,POINT (-47.6007 -8.711),0,Brasil,8510417.771
-8.7298,-47.5989,GOES-16,2023-10-10 13:20:00,POINT (-47.5989 -8.729799999999999),0,Brasil,8510417.771
-9.2603,-45.939,GOES-16,2023-10-10 13:20:00,POINT (-45.939 -9.260300000000001),0,Brasil,8510417.771
-9.355,-45.9284,GOES-16,2023-10-10 13:20:00,POINT (-45.9284 -9.355),0,Brasil,8510417.771
-9.3919,-45.992,GOES-16,2023-10-10 13:20:00,POINT (-45.992 -9.3919),0,Brasil,8510417.771
-9.432,-45.8293,GOES-16,2023-10-10 13:20:00,POINT (-45.8293 -9.432),0,Brasil,8510417.771
-10.74,-51.0849,GOES-16,2023-10-10 13:20:00,POINT (-51.0849 -10.74),0,Brasil,8510417.771
-10.7575,-51.1889,GOES-16,2023-10-10 13:20:00,POINT (-51.1889 -10.7575),0,Brasil,8510417.771
-10.7578,-51.1678,GOES-16,2023-10-10 13:20:00,POINT (-51.1678 -10.7578),0,Brasil,8510417.771
-10.7581,-51.1466,GOES-16,2023-10-10 13:20:00,POINT (-51.1466 -10.7581),0,Brasil,8510417.771
-10.7584,-51.1254,GOES-16,2023-10-10 13:20:00,POINT (-51.1254 -10.7584),0,Brasil,8510417.771
-11.7735,-47.9586,GOES-16,2023-10-10 13:20:00,POINT (-47.9586 -11.7735),0,Brasil,8510417.771
-11.7738,-47.9364,GOES-16,2023-10-10 13:20:00,POINT (-47.9364 -11.7738),0,Brasil,8510417.771
-15.1657,-51.9095,GOES-16,2023-10-10 13:20:00,POINT (-51.9095 -15.1657),0,Brasil,8510417.771
-15.2042,-51.9255,GOES-16,2023-10-10 13:20:00,POINT (-51.9255 -15.2042),0,Brasil,8510417.771
-15.2046,-51.904,GOES-16,2023-10-10 13:20:00,POINT (-51.904 -15.2046),0,Brasil,8510417.771
-15.2237,-51.9228,GOES-16,2023-10-10 13:20:00,POINT (-51.9228 -15.2237),0,Brasil,8510417.771
-15.2439,-51.8771,GOES-16,2023-10-10 13:20:00,POINT (-51.8771 -15.2439),0,Brasil,8510417.771
-16.3553,-52.8718,GOES-16,2023-10-10 13:20:00,POINT (-52.8718 -16.3553),0,Brasil,8510417.771
-16.3573,-52.765,GOES-16,2023-10-10 13:20:00,POINT (-52.765 -16.3573),0,Brasil,8510417.771
-16.3761,-52.8049,GOES-16,2023-10-10 13:20:00,POINT (-52.8049 -16.3761),0,Brasil,8510417.771
-16.4341,-52.8391,GOES-16,2023-10-10 13:20:00,POINT (-52.8391 -16.4341),0,Brasil,8510417.771
-16.4362,-52.7322,GOES-16,2023-10-10 13:20:00,POINT (-52.7322 -16.4362),0,Brasil,8510417.771
-16.4669,-57.8244,GOES-16,2023-10-10 13:20:00,POINT (-57.8244 -16.4669),0,Brasil,8510417.771
-16.4865,-57.8223,GOES-16,2023-10-10 13:20:00,POINT (-57.8223 -16.4865),0,Brasil,8510417.771
-16.7917,-55.8163,GOES-16,2023-10-10 13:20:00,POINT (-55.8163 -16.7917),0,Brasil,8510417.771
-17.1322,-56.539,GOES-16,2023-10-10 13:20:00,POINT (-56.539 -17.1322),0,Brasil,8510417.771
-17.1515,-56.5572,GOES-16,2023-10-10 13:20:00,POINT (-56.5572 -17.1515),0,Brasil,8510417.771
-17.3342,-55.0786,GOES-16,2023-10-10 13:20:00,POINT (-55.0786 -17.3342),0,Brasil,8510417.771
-17.3346,-55.0576,GOES-16,2023-10-10 13:20:00,POINT (-55.0576 -17.3346),0,Brasil,8510417.771
-17.335,-55.0366,GOES-16,2023-10-10 13:20:00,POINT (-55.0366 -17.335),0,Brasil,8510417.771
