lat,lon,satelite,data,geometry,index_right,CD_UF,NM_UF,SIGLA,NM_REGIAO
-17.3151,-39.4968,GOES-16,2023-12-09 18:50:00,POINT (-39.4968 -17.3151),8,29,Bahia,BA,Nordeste
-17.3159,-39.4705,GOES-16,2023-12-09 18:50:00,POINT (-39.4705 -17.3159),8,29,Bahia,BA,Nordeste
