lat,lon,satelite,data
 -24.856440, -60.065200,TERRA_M-M,2023-10-10 02:19:00
 -24.690150, -60.700580,TERRA_M-M,2023-10-10 02:19:00
 -24.682620, -60.711890,TERRA_M-M,2023-10-10 02:19:00
 -24.681240, -60.702130,TERRA_M-M,2023-10-10 02:19:00
 -24.673860, -60.719750,TERRA_M-M,2023-10-10 02:19:00
 -24.672480, -60.709980,TERRA_M-M,2023-10-10 02:19:00
 -24.663560, -60.711520,TERRA_M-M,2023-10-10 02:19:00
 -24.645800, -60.844590,TERRA_M-M,2023-10-10 02:19:00
 -24.644420, -60.834830,TERRA_M-M,2023-10-10 02:19:00
 -24.643050, -60.825070,TERRA_M-M,2023-10-10 02:19:00
 -24.641680, -60.815310,TERRA_M-M,2023-10-10 02:19:00
 -24.636880, -60.846120,TERRA_M-M,2023-10-10 02:19:00
 -24.635510, -60.836360,TERRA_M-M,2023-10-10 02:19:00
 -24.627970, -60.847660,TERRA_M-M,2023-10-10 02:19:00
 -24.626590, -60.837900,TERRA_M-M,2023-10-10 02:19:00
 -24.513950, -60.053520,TERRA_M-M,2023-10-10 02:19:00
 -24.512500, -60.043610,TERRA_M-M,2023-10-10 02:19:00
 -24.480220, -59.824750,TERRA_M-M,2023-10-10 02:19:00
 -24.444380, -58.606370,TERRA_M-M,2023-10-10 02:19:00
 -24.036590, -58.853200,TERRA_M-M,2023-10-10 02:19:00
 -24.034910, -58.842450,TERRA_M-M,2023-10-10 02:19:00
 -24.031820, -58.860440,TERRA_M-M,2023-10-10 02:19:00
 -23.791910, -59.163590,TERRA_M-M,2023-10-10 02:19:00
 -23.788010, -59.325200,TERRA_M-M,2023-10-10 02:19:00
 -23.778820, -59.326890,TERRA_M-M,2023-10-10 02:19:00
 -23.777240, -59.316520,TERRA_M-M,2023-10-10 02:19:00
 -23.513750, -59.767090,TERRA_M-M,2023-10-10 02:19:00
 -23.512260, -59.756990,TERRA_M-M,2023-10-10 02:19:00
 -23.323810, -60.419820,TERRA_M-M,2023-10-10 02:19:00
 -23.097670, -59.886870,TERRA_M-M,2023-10-10 02:19:00
 -23.096250, -63.778710,TERRA_M-M,2023-10-10 02:19:00
 -23.094870, -63.767560,TERRA_M-M,2023-10-10 02:19:00
 -23.088600, -59.888490,TERRA_M-M,2023-10-10 02:19:00
 -23.086690, -63.780110,TERRA_M-M,2023-10-10 02:19:00
 -23.085310, -63.768960,TERRA_M-M,2023-10-10 02:19:00
 -23.078500, -63.792680,TERRA_M-M,2023-10-10 02:19:00
 -23.077130, -63.781510,TERRA_M-M,2023-10-10 02:19:00
 -23.075760, -63.770370,TERRA_M-M,2023-10-10 02:19:00
 -23.066200, -63.771770,TERRA_M-M,2023-10-10 02:19:00
 -23.062890, -63.778630,TERRA_M-M,2023-10-10 02:19:00
 -23.061480, -63.767490,TERRA_M-M,2023-10-10 02:19:00
